num,objID,flag,conf,Anomaly Score,RA,Dec,u_b_exp
37389,1237680331641389757,0,0.9258,0.020295364782214165,3.229522,29.162417,20.162636651516525
37390,1237680331641454792,0,0.9558,0.12269219011068344,3.459205,29.35507,6.725521819224831
37391,1237680331641586190,0,0.9504,0.0284451711922884,3.800127,29.250696,22.821066690574543
37392,1237680331641651613,0,0.7698,0.04449605569243431,3.862397,29.174337,22.145487633159124
37393,1237680331642044731,0,0.8226,0.0527445524930954,5.01899,29.232628,21.89950086028932
37394,1237680331642110387,0,0.9679,0.040319714695215225,5.069563,29.184371,22.392607482370405
37395,1237680331642634676,0,0.8317,0.22266238927841187,6.504167,29.289847,21.1475155095783
37396,1237680331644600754,0,0.9335,0.0359632633626461,11.637521,29.021383,22.000126979564588
37397,1237680331644928710,0,0.624,0.03167301043868065,12.487286,28.976106,22.855945591972226
37398,1237680331645518520,0,0.9319,0.010487321764230728,13.994351,29.004022,23.50965981779113
37399,1237680331645976715,0,0.9006,0.21753808856010437,15.242235,28.839911,22.668172188632838
37400,1237666215149830606,0,0.7869,0.01840692199766636,19.278287,28.38605,22.731149062333472
37401,1237680331648729336,0,0.9333,0.16055722534656525,22.265532,28.132181,21.762201398222388
37402,1237680332163383999,0,0.954,0.25821030139923096,325.617025,23.629745,22.14165271014567
37403,1237680332164761060,0,0.6855,0.026512926444411278,328.869906,24.715944,22.1351140688139
37404,1237680443297432870,0,0.9119,0.02594531700015068,329.827217,24.821782,23.010226286150015
37405,1237680332166399002,0,0.9091,0.10656306147575378,332.907044,25.729721,
37406,1237680332169413889,0,0.6964,0.018537644296884537,340.43112,27.32649,22.92562374653146
37407,1237680332171707005,0,0.938,0.05886799469590187,346.191211,28.360331,22.419109279014712
37408,1237680332172100621,0,0.7969,0.018538355827331543,347.18097,28.450153,23.228415611049826
37409,1237680332172624572,0,0.96,0.03950934112071991,348.499398,28.598346,22.156642458466187
37410,1237680332173803614,0,0.9323,0.1366441696882248,351.575184,28.945621,19.249274157727104
37411,1237680332174131562,0,0.6123,0.047289445996284485,352.478305,29.040741,21.539243587410084
37412,1237680332174787235,0,0.7877,0.007804598659276962,354.149869,29.14459,22.827344802021862
37413,1237680332175180194,0,0.925,0.18518754839897156,355.152107,29.255185,23.10964808361766
37414,1237680332176163547,0,0.8587,0.018774790689349174,357.763243,29.407185,
37415,1237680332176360093,0,0.7373,0.09215298295021057,358.292373,29.414791,22.0110288339164
37416,1237663232841220717,0,0.8557,0.011099332943558693,359.013161,29.522643,14.784346260755683
37417,1237680332177081266,0,0.9085,0.04421330243349075,0.135037,29.678271,20.776905255202482
37418,1237680332177080924,0,0.6947,0.03878151252865791,0.055354,29.677308,22.233085099993964
